Area_id,Base Office
102,500 -  Monreal
118,501 -  Maitum
120,502 -  Sta. Maria
40,503 -  Escalante 2
36,504 -  Tangub 2
127,505 -  Hinunangan
141,506 -  Trinidad
131,507 -  Pasay
114,508 -  Pasig City 1
22,509 -  Silang 2
67,510 -  Kibawe
143,511 -  Mlang
129,512 -  Tabuk
153,513 -  Canlaon
139,514 -  Gandara
80,515 -  Puerto Princesa 4
58,516 -  General Santos City 3
53,517 -  Maragusan
56,518 -  Sto. Tomas 2
132,519 -  Abra De Ilog
96,520 -  Malungon 2
25,521 -  Calauan
97,522 -  Rt Lim
109,523 -  Amulung
27,524 -  Infanta Quezon
150,525 -  Lasam
95,526 -  San Vicente
131,527 -  Pasay 2
77,528 -  Nabua
151,529 -  San Mariano
21,530 -  Malabon
113,531 -  Caloocan 2
62,532 -  Libungan
57,533 -  Pantukan
103,534 -  New Corella
47,535 -  Madridejos
62,536 -  Kabacan
41,537 -  Dumanjug
106,538 -  Boljoon
59,539 -  Lake Sebu
60,540 -  Sen. Ninoy Aquino
91,541 -  Allen
90,542 -  Dolores
90,543 -  Taft
136,544 -  San Manuel
9,545 -  Burgos
8,546 -  San Fabian
93,547 -  Sta. Fe
64,548 -  Manukan
71,549 -  Kitcharao
70,550 -  Gamut
65,551 -  Manticao
66,552 -  Talakag
131,553 -  Para¤aque 2
113,554 -  Sampaloc
130,555 -  Murcia
114,556 -  Mandaluyong
114,557 -  Pasig City 2
31,558 -  Calamba 2
76,559 -  Basud
100,560 -  Mulanay
27,561 -  Famy
56,562 -  Carmen
61,563 -  Sta. Cruz
84,564 -  Compostela 2
97,565 -  Kabasalan
137,566 -  Sta. Rita
14,567 -  Bagac
7,568 -  Zaragoza
7,569 -  General Tinio
76,570 -  Daet 2
36,571 -  Montevista 2
119,572 -  Lebak Sultan Kudarat
103,573 -  Asuncion
98,574 -  Kapatagan
123,575 -  Prosperidad
143,576 -  Makilala
72,577 -  Cabanglasan
107,578 -  Calasiao
5,579 -  Jones
109,580 -  Allacapan
113,581 -  Quiapo
119,582 -  Kalamansig
142,583 -  Tupi
118,584 -  Kiamba
76,585 -  Sta. Elena
73,586 -  Del Gallego
50,587 -  Ormoc 2
34,588 -  Silay 2
35,589 -  Himamaylan
36,590 -  Tangub 3
69,591 -  Salay
35,592 -  Pontevedra
67,593 -  Kalilangan
1,594 -  Tuba
121,595 -  Loreto
104,596 -  Arakan
120,597 -  Sulop
21,598 -  Valenzuela 2
11,599 -  Sual
112,600 -  San Jose
92,601 -  Tuao
40,602 -  Calatrava
117,603 -  Samal 3
42,604 -  San Fernando Cebu
6,605 -  Ilagan 2
59,606 -  Tboli
24,607 -  Taguig City 2
113,608 -  Tondo
20,609 -  Quezon City 4
60,610 -  Tacurong 2
61,611 -  Matanao
44,612 -  Catigbian
124,613 -  San Miguel
22,614 -  Gma
45,"615 -  Valencia, Bohol"
63,616 -  Tangub City
125,617 -  Rodriguez 2
5,618 -  Angadanan
125,619 -  Marikina 2
128,620 -  Lucena 2
74,621 -  Sariaya
128,622 -  Torrijos
128,623 -  Boac
11,624 -  Lingayen 2
129,625 -  Quezon
98,626 -  Lala 2
46,627 -  Pilar
47,628 -  San Remigio
50,629 -  Hilongos
91,630 -  Calbayog 2
55,631 -  Ma-a
132,632 -  Sablayan 2
13,633 -  Magalang
2,634 -  Pinili
115,635 -  Manapla
39,636 -  Dumaguete 2
130,637 -  Murcia 2
58,638 -  General Santos City 4
6,639 -  Pe¤ablanca
92,640 -  Sto. Ni¤o
112,641 -  Cuenca
53,642 -  Mawab
133,643 -  Plaridel
152,644 -  Siquijor 2
104,645 -  Magpet
145,646 -  San Jose
130,647 -  Mandalagan
21,648 -  Navotas
35,649 -  Isabela
37,650 -  Kabankalan 2
127,651 -  Burauen
114,652 -  San Juan
135,653 -  Binangonan 2
122,654 -  Kisolon
72,655 -  Quezon
52,656 -  Alangalang
52,657 -  Tanauan
149,658 -  Jalajala
116,659 -  Balangiga
116,660 -  Tacloban 2
128,661 -  Gasan
75,662 -  Unisan
128,663 -  Sta. Cruz
81,664 -  Luna
148,665 -  Baleno
108,666 -  Subic
144,667 -  Claveria
145,668 -  Libjo
80,669 -  Aborlan
13,670 -  Angeles 2
108,671 -  Olongapo 2
23,672 -  Gen. Trias 2
112,673 -  Lobo
10,674 -  Carranglan
114,675 -  Sta. Ana
21,676 -  Malabon 2
9,677 -  Anda
134,678 -  Hinoba-an
8,679 -  Manaoag
38,680 -  Pamplona
75,681 -  Quezon
87,682 -  Caramoan
49,683 -  Borbon
10,684 -  Quezon
88,685 -  Pio Corpuz
83,686 -  Mobo
39,687 -  Dauin
142,688 -  Columbio
135,689 -  Taytay
48,690 -  Lapu -  Lapu City 2
30,691 -  San Jose 2
109,692 -  Baggao
77,693 -  Buhi
145,694 -  Cagdianao
57,695 -  Maco
26,696 -  Antipolo 3
92,697 -  Tuguegarao 2
147,698 -  Matnog
25,699 -  Alaminos
62,700 -  Alamada
90,701 -  Gen. Mac Arthur
59,702 -  Tboli 2
119,703 -  Esperanza
119,704 -  Upi
146,705 -  Zamboanga City 1
44,706 -  Antequera
41,707 -  Alegria
29,708 -  Baco
94,709 -  Cavite City
68,710 -  Butuan City 3
153,711 -  Jimalalud
146,712 -  Zamboanga City 2
86,713 -  Sta. Cruz
118,714 -  Palimbang
78,715 -  Legazpi City 2
138,716 -  Talisay
82,717 -  Rizal
72,718 -  Aglayan
140,719 -  Caibiran
2,720 -  Dolores
54,721 -  Marilog
140,722 -  San Isidro
146,723 -  Zamboanga City 3
154,724 -  Cotabato City 1
2,725 -  Sto. Domingo
12,726 -  Sta. Ana
107,727 -  Malasiqui
101,728 -  Donsol
100,729 -  San Francisco
154,730 -  Awang
154,731 -  Parang
96,732 -  Malapatan
3,733 -  Laoag
46,734 -  Candijay
8,735 -  Mangaldan
12,736 -  Masantol
146,737 -  Zamboanga City 4
64,738 -  Polanco
62,739 -  Aleosan
148,740 -  Balud 2
139,741 -  Calbiga
88,742 -  Cawayan 2
48,743 -  Cordova
141,744 -  Loboc
105,745 -  Cebu City 3
69,746 -  Magsaysay
145,747 -  Sison
155,748 -  Iloilo City
155,749 -  Jaro
63,750 -  Clarin
113,751 -  Sta. Cruz
76,752 -  Jose Panganiban
147,753 -  Barcelona
151,754 -  San Mateo
40,755 -  Toboso
149,756 -  Baras
17,757 -  San Ildefonso
39,758 -  Valencia
129,759 -  Aurora
152,760 -  Siquijor 3
20,761 -  Quezon City 5
131,762 -  Makati City
19,763 -  Angat
110,764 -  Bongabon
124,765 -  Dumalinao
48,766 -  Lapu - Lapu City 3
44,767 -  Sagbayan
155,768 -  Jaro 2
155,769 -  Iloilo City 2
154,770 -  Cotabato City 2
138,771 -  Malvar
31,772 -  San Pedro
112,773 -  San Pascual
112,774 -  Batangas 2
99,775 -  Lipa 2
